,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,100歲以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女
92年,147,129,238,243,21,59,35,49,25,27,43,45,14,12,8,16,11,24,16,24,6,12,7,10,5,8,14,11,11,7,28,9,1,3,12,13,26,24,7,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93年,170,140,258,262,30,48,41,45,29,33,51,43,16,14,15,13,10,23,15,20,10,14,7,13,7,11,19,12,10,9,30,14,2,6,17,23,36,26,8,5,5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94年,187,159,285,266,34,55,45,47,32,39,61,54,19,17,15,17,17,24,14,27,9,15,9,17,7,12,25,13,11,11,39,15,3,5,19,19,38,26,10,4,5,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95年,225,173,317,283,38,65,58,64,28,44,70,54,21,15,13,17,17,19,18,32,11,18,12,18,6,13,34,16,13,12,45,16,2,2,20,20,42,30,9,6,6,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96年,251,173,295,268,43,60,64,72,39,48,65,65,24,15,10,22,17,24,23,40,13,16,18,27,8,15,28,18,11,11,15,17,1,2,27,18,40,22,8,5,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97年,254,194,253,226,31,55,41,71,37,46,60,59,19,14,14,22,18,27,18,42,12,17,19,30,13,25,23,13,8,11,19,16,1,2,35,15,36,24,8,7,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98年,266,215,260,217,37,65,35,73,40,55,67,70,19,20,11,24,22,31,22,52,15,20,20,33,19,27,26,16,8,10,21,21,1,6,34,15,34,20,8,8,11,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年,281,221,287,216,50,66,45,70,39,57,59,59,19,26,14,33,29,28,22,67,15,25,16,34,11,30,26,19,9,11,29,23,1,7,28,19,34,26,8,8,12,28,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100年,281,228,275,218,53,73,52,86,39,57,60,68,18,25,12,34,19,28,24,62,16,25,13,38,11,25,28,20,12,10,31,21,1,6,27,23,35,27,9,12,10,26,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101年,335,257,374,268,72,83,65,101,52,76,72,83,23,24,15,36,21,28,30,68,13,22,11,43,15,33,39,23,15,12,44,19,4,7,41,23,43,24,16,13,14,38,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102年,332,263,400,294,86,95,68,122,65,79,97,84,22,29,16,38,22,30,31,72,15,25,13,54,17,45,41,40,21,14,48,22,4,8,38,33,48,26,14,10,18,36,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年,313,273,403,343,98,97,85,128,70,97,97,100,28,27,27,41,28,46,33,88,18,29,15,47,22,44,42,33,26,12,44,21,3,8,36,37,35,23,15,11,12,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104年,302,286,379,367,114,105,88,136,72,118,100,118,30,27,24,36,29,50,29,80,21,31,18,48,23,40,41,32,28,16,35,18,3,6,41,30,34,30,15,18,13,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105年,279,276,357,353,123,107,89,152,77,124,101,111,33,38,28,39,28,51,26,76,21,36,18,53,18,40,41,39,21,17,42,23,1,9,43,36,30,32,17,16,10,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
